SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes
CH,Birch_Hill,Scoria_cone,-37.3485,143.9198,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,2.16 ± 0.03,K-Rich Hawaiite,,120,10800,518,FALSE,19.5957295,35.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Black_Hill_Gordon,Scoria_cone,-37.5872,144.0792,,,,,105,10800,518,FALSE,21.80140949,40,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Brown_Hill,Scoria_cone,-37.4164,143.7029,,,Basaltic Icelandite,,65,10800,518,FALSE,13.22455119,23.5,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bullarook_Hill,Scoria_cone,-37.4147,144.0237,,,K-Rich Hawaiite,,80,10800,518,FALSE,16.06640054,28.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Burnt_Hill,Scoria_cone,-37.3485,144.0827,,,"Hawaiite, transitional basalt",,42,10800,518,FALSE,8.025797031,14.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Cantwell_Hill,Lava_shield,-37.6352,144.1268,,,Transitional Basalt,,60,10800,518,FALSE,12.2980714,21.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Cardinal_Hill,Scoria_cone,-37.4034,143.6335,,"1.97 +- 0.03, 1.97 +- 0.04",K-Rich Hawaiite,,65,10800,518,FALSE,15.96052949,28.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Carlsruhe,Lava_shield,-37.2997,144.5188,,,Tholeiite,,15,10800,518,FALSE,14.4130954,25.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Cattle_Station_Hill,Scoria_cone,-37.3624,143.8466,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,,K-Rich Hawaiite,,54,10800,518,FALSE,13.22455119,23.5,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Clarkes_Hill,Scoria_cone,-37.4872,143.9796,,,,,59,10800,518,FALSE,11.80489234,20.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Cleever_Hill,Lava_shield,-37.5327,144.1682,,,Hawaiite,,47,10800,518,FALSE,14.62787095,26.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Clover_Hill,Maar_Cone_Volcanic_Complex,-37.3095,143.8902,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,2.16,,,47,10800,518,FALSE,10.37037918,18.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Cloverbank_Hill,Scoria_cone,-37.373,143.7391,,,,,50.2,10800,518,FALSE,14.94924633,26.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Coghills_Hill,Scoria_cone,-37.4067,143.7701,,,,,69,10800,518,FALSE,17.58861509,31.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Cranneys_Hill,Lava_shield,-37.3906,144.3463,,,Transitional basalt,,26,10800,518,FALSE,10.03739409,17.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Crowe_Hill,Lava_shield,-37.5855,144.8686,,4.482 +- 0.01,Trachybasalt,,35,10800,518,FALSE,12.40741853,22,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
