Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE
GEOVIC_605,Unknown,-37.2729,144.8607
GEOVIC_69,Lava_shield,-37.1111,144.4073
GEOVIC_73,Lava_shield,-37.4165,144.4593
GEOVIC_74,Lava_shield,-37.3434,144.3822
Golf_Course_Hill,Lava_shield,-37.3475,144.5292
Gooches_Hill,Magmatic_Volcanic_Complex,-37.3082,144.2207
Gordon_Hill,Scoria_cone,-37.2797,143.6368
Green_Hill_Buninyong,Lava_shield,-37.6284,143.9012
Green_Hill_Metcalfe,Scoria_cone,-37.1513,144.4329
Green_Hill_Newlyn,Lava_shield,-37.3957,144.0213
Green_Hill_Pootilla,Lava_shield,-37.515,143.9677
Green_Hill_Snake_Valley,Lava_shield,-37.6042,143.6028
Green_Hill_Wallan,Lava_shield,-37.4232,144.9843
Green_Hills_Greendale,Lava_shield,-37.5006,144.2907
Grenville_Hill,Lava_shield,-37.6781,143.8772
Happy_Valley,Magmatic_Volcanic_Complex,-37.7104,143.5616
Hardie_Hill,Maar,-37.7414,143.8799
Hayes_Hill,Lava_shield,-37.5391,145.0047
Heaghney_Hill,Lava_shield,-37.23,144.0085
Hepburn_Lagoon,Maar,-37.3718,143.9969
Holcombe_Hill,Scoria_cone,-37.2787,144.1992
Hopwoods_Hill,Scoria_cone,-37.6098,144.0983
Kangaroo_Hill_Denver,Scoria_cone,-37.2699,144.309
Kangaroo_Hills_Kingston,Scoria_cone,-37.3538,144.0073
Kelly_Hill_Glengower,Scoria_cone,-37.2617,143.8815
Kellys_Hill_Korweinguboora,Lava_shield,-37.4309,144.1278
Kidds_Hill,Magmatic_Volcanic_Complex,-37.2902,144.2706
Lady_Franklin,Scoria_cone,-37.2946,144.1394
Lady_Mount,Scoria_cone,-37.4224,143.6468
Lake_Burrumbeet_Callender_Bay,Maar_Cone_Volcanic_Complex,-37.4848,143.6332
Lane_Hill,Scoria_cone,-37.2235,143.816
Langdon_Hill,Lava_shield,-37.4184,144.0603
Leishman_Complex,Magmatic_Volcanic_Complex,-37.2642,143.8328
Leonards_Hill,Lava_shield,-37.4233,144.1204
Liafall,Lava_shield,-37.311,144.9347
Little_Bullengarook,Scoria_cone,-37.505,144.5159
Little_Hill_Lawrence,Scoria_cone,-37.3205,143.9152
Madden_Hill,Magmatic_Volcanic_Complex,-37.4892,144.0037
Magnet_Hill,Lava_shield,-37.4729,144.5992
Maiden_Hill,Scoria_cone,-37.2893,143.6145
McIvor_Hill,Scoria_cone,-37.241,143.8657
McLean_Hill,Scoria_cone,-37.4345,143.7506
Melbourne_Hill,Lava_shield,-37.2997,144.7445
Merin_Hill,Scoria_cone,-37.2111,143.8114
Molonghip_Hill,Scoria_cone,-37.4844,144.0377
MONVOLC_2,Unknown,-37.2395,144.4372
Morton_Hill,Scoria_cone,-37.4237,143.7519
Mossops_Hill,Lava_shield,-37.4056,144.1966
Mt_Aitken,Lava_shield,-37.5465,144.6424
Mt_Beckworth,Scoria_cone,-37.309,143.6738
Mt_Blackwood,Scoria_cone,-37.5572,144.3604
Mt_Blowhard,Scoria_cone,-37.4529,143.8
Mt_Bullengarook,Scoria_cone,-37.5099,144.4931
Mt_Buninyong,Magmatic_Volcanic_Complex,-37.6532,143.9238
Mt_Cameron,Scoria_cone,-37.2008,143.8146
Mt_Cavern,Scoria_cone,-37.4104,143.7851
Mt_Consultation,Lava_shield,-37.0983,144.1686
Mt_Darriwill,Scoria_cone,-37.631,144.2764
Mt_Duntulm,Scoria_cone,-37.2062,143.8556
Mt_Franklin,Magmatic_Volcanic_Complex,-37.2647,144.1498
Mt_Fraser,Scoria_cone,-37.4616,144.9783
Mt_Gap,Scoria_cone,-37.3346,143.6927
Mt_Gisborne,Magmatic_Volcanic_Complex,-37.5212,144.5904
Mt_Glasgow,Scoria_cone,-37.2102,143.7532
Mt_Gorong,Lava_shield,-37.6081,144.2493
Mt_Greenock,Scoria_cone,-37.201,143.7251
Mt_Holden,Scoria_cone,-37.5645,144.6925
Mt_Hollowback,Scoria_cone,-37.4408,143.8187
Mt_Hydewell,Lava_shield,-37.6235,144.2252
Mt_Kooroocheang,Magmatic_Volcanic_Complex,-37.297,143.9843
Mt_Mitchell,Magmatic_Volcanic_Complex,-37.2847,143.5838
Mt_Moolort,Lava_shield,-37.0474,143.8604
Mt_Moorookyle,Scoria_cone,-37.2947,143.9403
Mt_Pisgah,Scoria_cone,-37.4626,143.818
Mt_Prospect,Lava_shield,-37.384,144.0576
Mt_Ridley,Lava_shield,-37.5656,144.9333
Mt_Rowan,Scoria_cone,-37.5,143.8381
Mt_Steiglitz,Scoria_cone,-37.5648,144.2335
Mt_Stewart,Scoria_cone,-37.2647,144.1498
Mt_Wallace,Lava_shield,-37.7505,144.2133
Mt_Warrenheip,Scoria_cone,-37.5751,143.9582
Muses_Hill,Lava_shield,-37.3585,144.3049
ODonnell_Hill,Scoria_cone,-37.5705,144.0955
Pattens_Hill,Lava_shield,-37.2182,144.3215
Poverty_Point,Lava_shield,-37.5564,144.1002
Powlett_Hill,Scoria_cone,-37.26,143.9308
Pretty_Sally,Lava_shield,-37.3804,144.9651
Pykes_Hill,Lava_shield,-37.576,144.2773
Quoin_Hill,Scoria_cone,-37.3472,143.6033
Red_Rock_Gisborne,Lava_shield,-37.5163,144.6455
Redstone_Hill,Lava_shield,-37.6081,144.7528
Rocky_Hill_Stoney_Rises,Lava_shield,-37.2542,143.9739
Ross_Creek,Lava_shield,-37.6525,143.7357
Ross_Hill,Lava_shield,-37.3435,143.709
Round_Hill_Broadford,Lava_shield,-37.183,145.0335
Ryan_Hill,Lava_shield,-37.3729,143.6169
Ryans_Hill_Bungal,Lava_shield,-37.6918,144.0968
Saddleback_Hill,Scoria_cone,-37.4505,143.6968
Saint_Marys_Hill,Scoria_cone,-37.3687,143.5926
Scrub_Hill,Scoria_cone,-37.4294,143.9746
Sister_Hills,Scoria_cone,-37.3921,143.6531
Sister_Hills_Waubra,Scoria_cone,-37.406,143.6451
Snake_Hill,Lava_shield,-37.3251,144.2044
Snowden_Hill,Lava_shield,-37.274,144.334
Spring_Hill_Springmount,Scoria_cone,-37.4029,143.9335
Spring_Hill_Trawalla,Lava_shield,-37.4658,143.5027
Spring_Hill_Trentham,Lava_shield,-37.3121,144.337
Spring_Hill_Wallan,Lava_shield,-37.4464,144.9734
Stewart_Hill,Scoria_cone,-37.2689,143.8984
Taylor_Hill,Lava_shield,-37.1489,144.6723
The_Bluff_Yalloak_Vale,Volcano_mainly_lava,-37.7182,144.275
The_Sugarloaf_Springfield,Lava_shield,-37.337,144.8222
Tipperary_Hill,Scoria_cone,-37.4839,144.0299
Tourello_Creek,Maar,-37.3157,143.833
Tregunna,Lava_shield,-37.2476,144.6847
Troys_Hill,Scoria_cone,-37.3602,143.6181
Tulloch_Hill,Lava_shield,-37.1908,144.837
Two_Mile_Hill,Scoria_cone,-37.3255,143.7882
Unnamed_BM1,Lava_shield,-37.6374,144.2999
Unnamed_BM3,Lava_shield,-37.682,144.2248
Unnamed_BM4,Magmatic_Volcanic_Complex,-37.5229,144.0424
Unnamed_BT2,Lava_shield,-37.6747,143.6577
Unnamed_CK1,Lava_shield,-37.0738,143.9484
Unnamed_CK3,Lava_shield,-37.3625,143.887
Unnamed_CK7,Lava_shield,-37.3283,143.7591
Unnamed_CN2,Lava_shield,-37.3519,144.3989
Unnamed_CN3,Lava_shield,-37.4786,144.0257
Unnamed_CN6,Lava_shield,-37.4285,144.0387
Unnamed_MB2,Lava_shield,-37.5599,144.8704
Unnamed_MB3,Lava_shield,-37.5716,144.6409
Unnamed_WD1,Lava_shield,-37.2356,144.8066
Unnamed_WD15,Lava_shield,-37.4343,144.6116
Unnamed_WD21,Lava_shield,-37.3173,144.5147
Unnamed_WD25,Lava_shield,-37.2365,144.5741
Unnamed_WD3,Lava_shield,-37.2578,144.8894
Unnamed_WD5,Lava_shield,-37.3348,144.956
Unnamed_WD9,Lava_shield,-37.2898,144.7709
Vaughan_Hill,Scoria_cone,-37.3791,143.7183
Weatherboard_Hill,Scoria_cone,-37.4397,143.6695
Wheeler_Hill,Scoria_cone,-37.3794,144.19
Wombat_Hill_Daylesford,Magmatic_Volcanic_Complex,-37.3431,144.1505
Wombat_Hill_Dean,Scoria_cone,-37.4828,143.9606
Woodlands,Lava_shield,-37.346,144.7929
Wrights_Hill,Unknown,-37.3557,143.6654
Yandoit_Hill,Scoria_cone,-37.2231,144.0552
Yendon_Hill,Lava_shield,-37.630714,143.958225
