SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE
WP,Vine_Bank,Lava_shield,-38.1424,142.0802
WP,Wallinduc_Hill,Lava_shield,-37.8413,143.5546
WP,Warncoort,Scoria_cone,-38.3086,143.7518
WP,Warrion_Hill,Magmatic_Volcanic_Complex,-38.2181,143.5297
WP,Willaura,Lava_shield,-37.3281,142.7498
WP,Wood_Hill,Lava_shield,-37.6387,144.6277
WP,Wurdi_Buloc,Lava_shield,-38.2773,144.0648
WP,Yaloak_Swamp,Maar,-38.2786,142.7871
MG,Boyce_Hill,Ash_Cone,-37.5789,140.5589
MG,Campbell_Hill,Ash_Dome,-37.5507,140.5233
MG,Lake_Edward,Maar,-37.6244,140.6025
MG,Lake_Leake,Maar_Volcanic_Complex,-37.613,140.585
MG,Mt_Burr,Scoria_cone,-37.603,140.4822
MG,Mt_Edward,Scoria_cone,-37.6281,140.6182
MG,Mt_Frill,Ash_Dome,-37.6302,140.5202
MG,Mt_Gambier,Maar_Cone_Volcanic_Complex,-37.8414,140.7659
MG,Mt_Graham,Scoria_cone,-37.5234,140.4439
MG,Mt_Lookout,Ash_Cone,-37.6744,140.5132
MG,Mt_Lyon,Scoria_cone,-37.645,140.5956
MG,Mt_McIntyre,Lava_shield,-37.5677,140.5436
MG,Mt_Muir,Ash_Cone,-37.5493,140.4568
MG,Mt_Muirhead,Maar_Cone_Volcanic_Complex,-37.5587,140.4044
MG,Mt_Schank,Maar_Cone_Volcanic_Complex,-37.9401,140.7362
MG,Mt_Watch,Scoria_cone,-37.6916,140.525
MG,The_Bluff_Glencoe,Scoria_cone,-37.72,140.5645
CH,Aitken_Hill,Lava_shield,-37.609,144.9043
CH,Baird_Hill,Scoria_cone,-37.3915,143.7341
CH,Bald_Hill_Blakeville,Scoria_cone,-37.5277,144.2105
CH,Bald_Hill_Daylesford,Scoria_cone,-37.3285,144.11
CH,Bald_Hill_Edgecombe,Lava_shield,-37.1987,144.4557
CH,Bald_Hill_Kalkallo,Lava_shield,-37.5054,144.9755
CH,Bald_Hill_Waubra,Lava_shield,-37.3586,143.6947
CH,Bald_Hill_Woodstock,Lava_shield,-36.7702,144.0525
CH,Bankin_Hill_and_Selwood_Hill,Scoria_cone,-37.419,143.7215
CH,Bay_Hill,Lava_shield,-37.461,144.626
CH,Beattie_Hill,Lava_shield,-37.5351,144.6125
CH,Beavers_Hill,Lava_shield,-37.4338,144.1364
CH,Big_Hill_Lexton,Scoria_cone,-37.3187,143.6001
CH,Birch_Hill,Scoria_cone,-37.3485,143.9198
CH,Black_Hill_Gordon,Scoria_cone,-37.5872,144.0792
CH,Brown_Hill,Scoria_cone,-37.4164,143.7029
CH,Bullarook_Hill,Scoria_cone,-37.4147,144.0237
CH,Burnt_Hill,Scoria_cone,-37.3485,144.0827
CH,Cantwell_Hill,Lava_shield,-37.6352,144.1268
CH,Cardinal_Hill,Scoria_cone,-37.4034,143.6335
CH,Carlsruhe,Lava_shield,-37.2997,144.5188
CH,Cattle_Station_Hill,Scoria_cone,-37.3523,143.9704
CH,Clarkes_Hill,Scoria_cone,-37.4872,143.9796
CH,Cleever_Hill,Lava_shield,-37.5327,144.1682
CH,Clover_Hill,Maar_Cone_Volcanic_Complex,-37.3095,143.8902
CH,Cloverbank_Hill,Scoria_cone,-37.373,143.7391
CH,Coghills_Hill,Scoria_cone,-37.4067,143.7701
CH,Cranneys_Hill,Lava_shield,-37.3906,144.3463
CH,Crowe_Hill,Lava_shield,-37.5855,144.8686
CH,Currys_Hill,Scoria_cone,-37.3573,144.2141
CH,Deverall_Hill,Lava_shield,-37.5294,144.6385
CH,Dolphins_Hill,Lava_shield,-37.3967,144.2531
CH,Donnelly_Hill,Scoria_cone,-37.3997,144.0471
CH,Eastern_Hill,Lava_shield,-37.3476,144.0526
CH,Fairbanks Hill,Unknown,-37.6082,144.8638
CH,Fawcett_Hill,Scoria_cone,-37.1922,143.8361
CH,Fenton_Hill_Sunbury,Scoria_cone,-37.499,144.8055
CH,Fenton_Hill_Waubra,Scoria_cone,-37.3478,143.7377
CH,Fern_Hill,Scoria_cone,-37.3238,144.16779
CH,Fitzgerald_Hill,Lava_shield,-37.5337,144.6662
CH,Foran_Hill,Scoria_cone,-37.3865,143.6246
CH,Forest_Hill,Scoria_cone,-37.3939,143.9631
CH,Fraser_Hill,Scoria_cone,-37.3949,143.6966
CH,GEOVIC_0,Scoria_cone,-37.3863,143.6373
CH,GEOVIC_116,Lava_shield,-37.2591,144.2063
CH,GEOVIC_118,Unknown,-37.2903,144.2423
CH,GEOVIC_119,Unknown,-37.3452,144.0266
CH,GEOVIC_137,Unknown,-37.3378,143.7405
CH,GEOVIC_147,Scoria_cone,-37.4475,144.1772
CH,GEOVIC_149,Unknown,-37.3638,144.1996
CH,GEOVIC_291,Lava_shield,-37.388,144.8173
CH,GEOVIC_308,Lava_shield,-37.5748,143.9863
CH,GEOVIC_315,Lava_shield,-37.5434,143.8081
CH,GEOVIC_328,Unknown,-37.5943,143.6505
CH,GEOVIC_359,Lava_shield,-37.5463,144.6758
CH,GEOVIC_362,Lava_shield,-37.5204,144.68985
CH,GEOVIC_394,Lava_shield,-37.5951,143.9943
CH,GEOVIC_396,Lava_shield,-37.5254,143.9682
CH,GEOVIC_40,Unknown,-37.3913,144.1978
CH,GEOVIC_41,Unknown,-37.4292,144.217
CH,GEOVIC_416,Lava_shield,-37.704,144.07752
CH,GEOVIC_432,Scoria_cone,-37.3624,143.8466
CH,GEOVIC_44,Scoria_cone,-37.2581,144.0345
CH,GEOVIC_446,Unknown,-37.2781,143.8814
CH,GEOVIC_460,Scoria_cone,-37.3996,143.6597
CH,GEOVIC_470,Scoria_cone,-37.3313,143.6837
CH,GEOVIC_471,Scoria_cone,-37.3341,143.6752
CH,GEOVIC_475,Unknown,-37.3691,143.6047
CH,GEOVIC_513,Lava_shield,-37.2364,144.5545
CH,GEOVIC_514,Lava_shield,-37.1367,144.513
CH,GEOVIC_517,Lava_shield,-37.1848,144.6625
CH,GEOVIC_53,Unknown,-37.2877,144.2376
CH,GEOVIC_55,Unknown,-37.2982,144.1478
CH,GEOVIC_563,Lava_shield,-37.1357,144.6265
CH,GEOVIC_564,Unknown,-37.2311,144.8286
CH,GEOVIC_565,Lava_shield,-37.5186,144.1373
CH,GEOVIC_58,Unknown,-37.3425,144.0322
CH,GEOVIC_605,Unknown,-37.2729,144.8607
CH,GEOVIC_69,Lava_shield,-37.1111,144.4073
CH,GEOVIC_73,Lava_shield,-37.4165,144.4593
CH,GEOVIC_74,Lava_shield,-37.3434,144.3822
CH,Golf_Course_Hill,Lava_shield,-37.3475,144.5292
CH,Gooches_Hill,Magmatic_Volcanic_Complex,-37.3082,144.2207
CH,Gordon_Hill,Scoria_cone,-37.2797,143.6368
CH,Green_Hill_Buninyong,Lava_shield,-37.6284,143.9012
CH,Green_Hill_Metcalfe,Scoria_cone,-37.1513,144.4329
CH,Green_Hill_Newlyn,Lava_shield,-37.3957,144.0213
CH,Green_Hill_Pootilla,Lava_shield,-37.515,143.9677
CH,Green_Hill_Snake_Valley,Lava_shield,-37.6042,143.6028
CH,Green_Hill_Wallan,Lava_shield,-37.4232,144.9843
CH,Green_Hills_Greendale,Lava_shield,-37.5006,144.2907
CH,Grenville_Hill,Lava_shield,-37.6781,143.8772
CH,Happy_Valley,Magmatic_Volcanic_Complex,-37.7104,143.5616
CH,Hardie_Hill,Maar,-37.7414,143.8799
CH,Hayes_Hill,Lava_shield,-37.5391,145.0047
CH,Heaghney_Hill,Lava_shield,-37.23,144.0085
CH,Hepburn_Lagoon,Maar,-37.3718,143.9969
CH,Holcombe_Hill,Scoria_cone,-37.2787,144.1992
CH,Hopwoods_Hill,Scoria_cone,-37.6098,144.0983
CH,Kangaroo_Hill_Denver,Scoria_cone,-37.2699,144.309
CH,Kangaroo_Hills_Kingston,Scoria_cone,-37.3538,144.0073
CH,Kelly_Hill_Glengower,Scoria_cone,-37.2617,143.8815
CH,Kellys_Hill_Korweinguboora,Lava_shield,-37.4309,144.1278
CH,Kidds_Hill,Magmatic_Volcanic_Complex,-37.2902,144.2706
CH,Lady_Franklin,Scoria_cone,-37.2946,144.1394
CH,Lady_Mount,Scoria_cone,-37.4224,143.6468
CH,Lake_Burrumbeet_Callender_Bay,Maar_Cone_Volcanic_Complex,-37.4848,143.6332
CH,Lane_Hill,Scoria_cone,-37.2235,143.816
CH,Langdon_Hill,Lava_shield,-37.4184,144.0603
CH,Leishman_Complex,Magmatic_Volcanic_Complex,-37.2642,143.8328
CH,Leonards_Hill,Lava_shield,-37.4233,144.1204
CH,Liafall,Lava_shield,-37.311,144.9347
CH,Little_Bullengarook,Scoria_cone,-37.505,144.5159
CH,Little_Hill_Lawrence,Scoria_cone,-37.3205,143.9152
CH,Madden_Hill,Magmatic_Volcanic_Complex,-37.4892,144.0037
CH,Magnet_Hill,Lava_shield,-37.4729,144.5992
CH,Maiden_Hill,Scoria_cone,-37.2893,143.6145
CH,McIvor_Hill,Scoria_cone,-37.241,143.8657
CH,McLean_Hill,Scoria_cone,-37.4345,143.7506
CH,Melbourne_Hill,Lava_shield,-37.2997,144.7445
CH,Merin_Hill,Scoria_cone,-37.2111,143.8114
CH,Molonghip_Hill,Scoria_cone,-37.4844,144.0377
CH,MONVOLC_2,Unknown,-37.2395,144.4372
CH,Morton_Hill,Scoria_cone,-37.4237,143.7519
CH,Mossops_Hill,Lava_shield,-37.4056,144.1966
CH,Mt_Aitken,Lava_shield,-37.5465,144.6424
CH,Mt_Beckworth,Scoria_cone,-37.309,143.6738
CH,Mt_Blackwood,Scoria_cone,-37.5572,144.3604
CH,Mt_Blowhard,Scoria_cone,-37.4529,143.8
CH,Mt_Bullengarook,Scoria_cone,-37.5099,144.4931
CH,Mt_Buninyong,Magmatic_Volcanic_Complex,-37.6532,143.9238
CH,Mt_Cameron,Scoria_cone,-37.2008,143.8146
CH,Mt_Cavern,Scoria_cone,-37.4104,143.7851
CH,Mt_Consultation,Lava_shield,-37.0983,144.1686
CH,Mt_Darriwill,Scoria_cone,-37.631,144.2764
CH,Mt_Duntulm,Scoria_cone,-37.2062,143.8556
CH,Mt_Franklin,Magmatic_Volcanic_Complex,-37.2647,144.1498
CH,Mt_Fraser,Scoria_cone,-37.4616,144.9783
CH,Mt_Gap,Scoria_cone,-37.3346,143.6927
CH,Mt_Gisborne,Magmatic_Volcanic_Complex,-37.5212,144.5904
CH,Mt_Glasgow,Scoria_cone,-37.2102,143.7532
CH,Mt_Gorong,Lava_shield,-37.6081,144.2493
CH,Mt_Greenock,Scoria_cone,-37.201,143.7251
CH,Mt_Holden,Scoria_cone,-37.5645,144.6925
CH,Mt_Hollowback,Scoria_cone,-37.4408,143.8187
CH,Mt_Hydewell,Lava_shield,-37.6235,144.2252
CH,Mt_Kooroocheang,Magmatic_Volcanic_Complex,-37.297,143.9843
CH,Mt_Mitchell,Magmatic_Volcanic_Complex,-37.2847,143.5838
CH,Mt_Moolort,Lava_shield,-37.0474,143.8604
CH,Mt_Moorookyle,Scoria_cone,-37.2947,143.9403
CH,Mt_Pisgah,Scoria_cone,-37.4626,143.818
CH,Mt_Prospect,Lava_shield,-37.384,144.0576
CH,Mt_Ridley,Lava_shield,-37.5656,144.9333
CH,Mt_Rowan,Scoria_cone,-37.5,143.8381
CH,Mt_Steiglitz,Scoria_cone,-37.5648,144.2335
CH,Mt_Stewart,Scoria_cone,-37.2647,144.1498
CH,Mt_Wallace,Lava_shield,-37.7505,144.2133
CH,Mt_Warrenheip,Scoria_cone,-37.5751,143.9582
CH,Muses_Hill,Lava_shield,-37.3585,144.3049
CH,ODonnell_Hill,Scoria_cone,-37.5705,144.0955
CH,Pattens_Hill,Lava_shield,-37.2182,144.3215
CH,Poverty_Point,Lava_shield,-37.5564,144.1002
CH,Powlett_Hill,Scoria_cone,-37.26,143.9308
CH,Pretty_Sally,Lava_shield,-37.3804,144.9651
CH,Pykes_Hill,Lava_shield,-37.576,144.2773
CH,Quoin_Hill,Scoria_cone,-37.3472,143.6033
CH,Red_Rock_Gisborne,Lava_shield,-37.5163,144.6455
CH,Redstone_Hill,Lava_shield,-37.6081,144.7528
CH,Ross_Creek,Lava_shield,-37.6525,143.7357
CH,Ross_Hill,Lava_shield,-37.3435,143.709
CH,Round_Hill_Broadford,Lava_shield,-37.183,145.0335
CH,Ryan_Hill,Lava_shield,-37.3729,143.6169
CH,Ryans_Hill_Bungal,Lava_shield,-37.6918,144.0968
CH,Saddleback_Hill,Scoria_cone,-37.4505,143.6968
CH,Saint_Marys_Hill,Scoria_cone,-37.3687,143.5926
CH,Scrub_Hill,Scoria_cone,-37.4294,143.9746
CH,Sister_Hills,Scoria_cone,-37.3921,143.6531
CH,Sister_Hills_Waubra,Scoria_cone,-37.406,143.6451
CH,Snake_Hill,Lava_shield,-37.3251,144.2044
CH,Snowden_Hill,Lava_shield,-37.274,144.334
CH,Spring_Hill_Springmount,Scoria_cone,-37.4029,143.9335
CH,Spring_Hill_Trawalla,Lava_shield,-37.4658,143.5027
CH,Spring_Hill_Trentham,Lava_shield,-37.3121,144.337
CH,Spring_Hill_Wallan,Lava_shield,-37.4464,144.9734
CH,Stewart_Hill,Scoria_cone,-37.2689,143.8984
CH,Taylor_Hill,Lava_shield,-37.1489,144.6723
CH,The_Bluff_Yalloak_Vale,Volcano_mainly_lava,-37.7182,144.275
CH,The_Sugarloaf_Springfield,Lava_shield,-37.337,144.8222
CH,Tipperary_Hill,Scoria_cone,-37.4839,144.0299
CH,Tourello_Creek,Maar,-37.3157,143.833
CH,Tregunna,Lava_shield,-37.2476,144.6847
CH,Troys_Hill,Scoria_cone,-37.3602,143.6181
CH,Tulloch_Hill,Lava_shield,-37.1908,144.837
CH,Two_Mile_Hill,Scoria_cone,-37.3255,143.7882
CH,Unnamed_BM1,Lava_shield,-37.6374,144.2999
CH,Unnamed_BM3,Lava_shield,-37.682,144.2248
CH,Unnamed_BM4,Magmatic_Volcanic_Complex,-37.5229,144.0424
CH,Unnamed_BT2,Lava_shield,-37.6747,143.6577
CH,Unnamed_CK1,Lava_shield,-37.0738,143.9484
CH,Unnamed_CK3,Lava_shield,-37.3625,143.887
CH,Unnamed_CK4,Lava_shield,-37.2542,143.9739
CH,Unnamed_CK7,Lava_shield,-37.3283,143.7591
CH,Unnamed_CN2,Lava_shield,-37.3519,144.3989
CH,Unnamed_CN3,Lava_shield,-37.4786,144.0257
CH,Unnamed_CN6,Lava_shield,-37.4285,144.0387
CH,Unnamed_MB2,Lava_shield,-37.5599,144.8704
CH,Unnamed_MB3,Lava_shield,-37.5716,144.6409
CH,Unnamed_WD1,Lava_shield,-37.2356,144.8066
CH,Unnamed_WD15,Lava_shield,-37.4343,144.6116
CH,Unnamed_WD21,Lava_shield,-37.3173,144.5147
CH,Unnamed_WD25,Lava_shield,-37.2365,144.5741
CH,Unnamed_WD3,Lava_shield,-37.2578,144.8894
CH,Unnamed_WD5,Lava_shield,-37.3348,144.956
CH,Unnamed_WD9,Lava_shield,-37.2898,144.7709
CH,Vaughan_Hill,Scoria_cone,-37.3791,143.7183
CH,Weatherboard_Hill,Scoria_cone,-37.4397,143.6695
CH,Wheeler_Hill,Scoria_cone,-37.3794,144.19
CH,Wombat_Hill_Daylesford,Magmatic_Volcanic_Complex,-37.3431,144.1505
CH,Wombat_Hill_Dean,Scoria_cone,-37.4828,143.9606
CH,Woodlands,Lava_shield,-37.346,144.7929
CH,Wrights_Hill,Unknown,-37.3557,143.6654
CH,Yandoit_Hill,Scoria_cone,-37.2231,144.0552
CH,Yendon_Hill,Lava_shield,-37.630714,143.958225
