Volcanic Centre Name,LAT_CENTRE,LON_CENTRE,Area_0_5_km2,Avg_Density_0_5,Ranking_0_5,Area_5_10_km2,Avg_Density_5_10,Ranking_5_10,Area_10_25_km2,Avg_Density_10_25,Ranking_10_25,Area_25_50_km2,Avg_Density_25_50,Ranking_25_50,Area_50_100_km2,Avg_Density_50_100,Ranking_50_100,Exposure_Pareto_Front
Fenton_Hill_Sunbury,-37.499,144.8055,79.0,4.922959,4,234.0,95.51985,4,1652.0,300.27396,3,5734.0,506.05286,3,21409.0,120.65176,2,2
Fenton_Hill_Waubra,-37.3478,143.7377,78.0,2.4983928,4,234.0,10.627475,4,1647.0,36.07434,3,5878.0,19.395422,2,23521.0,30.178133,2,3
Fern_Hill,-37.3238,144.16779,76.0,56.470394,5,235.0,7.5303535,4,1648.0,7.0513062,3,5874.0,40.49263,3,22806.0,150.65726,2,1
Fitzgerald_Hill,-37.5337,144.6662,78.0,84.44998,5,235.0,236.05858,4,1649.0,264.4206,3,5707.0,440.50586,3,21220.0,142.19023,2,1
Foran_Hill,-37.3865,143.6246,78.0,4.4902854,4,238.0,2.9756074,3,1644.0,27.469444,3,5883.0,21.004532,2,23524.0,19.084106,1,5
Forest_Hill,-37.3939,143.9631,78.0,12.074047,4,234.0,18.078487,4,1648.0,65.56133,3,5879.0,16.276407,2,23061.0,102.89776,2,3
Fraser_Hill,-37.3949,143.6966,78.0,6.3682175,4,237.0,3.3872576,3,1646.0,59.576042,3,5883.0,12.527675,2,23526.0,29.612085,1,5
GEOVIC_0,-37.3863,143.6373,81.0,4.5349326,4,235.0,3.3568687,3,1648.0,30.949041,3,5883.0,20.126581,2,23530.0,20.548244,1,5
GEOVIC_116,-37.2591,144.2063,75.0,4.85655,4,238.0,11.735098,4,1644.0,19.73519,3,5876.0,33.245983,3,22988.0,139.77762,2,2
GEOVIC_118,-37.2903,144.2423,77.0,10.847539,4,233.0,11.299023,4,1649.0,17.947905,3,5875.0,35.158836,3,22786.0,160.92906,2,2
GEOVIC_119,-37.3452,144.0266,77.0,4.8098774,4,234.0,11.5766,4,1647.0,11.78014,3,5878.0,33.5954,3,23033.0,114.45098,2,2
GEOVIC_137,-37.3378,143.7405,77.0,3.5349562,4,235.0,9.699124,4,1648.0,28.227968,3,5873.0,21.757563,2,23525.0,29.227577,1,4
GEOVIC_147,-37.4475,144.1772,79.0,3.5334048,4,237.0,4.254981,4,1655.0,12.701493,3,5876.0,57.276283,3,22316.0,181.9665,2,2
GEOVIC_149,-37.3638,144.1996,78.0,13.814978,4,236.0,21.651678,4,1652.0,7.0497456,3,5877.0,51.432247,3,22648.0,168.63707,2,2
GEOVIC_291,-37.388,144.8173,79.0,4.363249,4,237.0,29.028463,4,1643.0,125.212425,3,5883.0,334.33908,3,21846.0,168.50249,2,2
