SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes,Recurrence_score,Lahar_Score,PDC_Score,Tephra_Score,Tsunami_Score,Littoral_Score,Total_Hazard_Score
CH,Clover_Hill,Maar_Cone_Volcanic_Complex,-37.3095,143.8902,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,2.16,,,47.0,10800,518,False,10.37037918,18.3,False,False,False,False,False,7,True,False,False,0,False,4,0,2,7.0,0,0,2.01061048357
CH,Cloverbank_Hill,Scoria_cone,-37.373,143.7391,,,,,50.2,10800,518,False,14.94924633,26.7,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Coghills_Hill,Scoria_cone,-37.4067,143.7701,,,,,69.0,10800,518,False,17.58861509,31.7,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Cranneys_Hill,Lava_shield,-37.3906,144.3463,,,Transitional basalt,,26.0,10800,518,False,10.03739409,17.7,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Crowe_Hill,Lava_shield,-37.5855,144.8686,,4.482 +- 0.01,Trachybasalt,,35.0,10800,518,False,12.40741853,22.0,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Currys_Hill,Scoria_cone,-37.3573,144.2141,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,61.0,10800,518,False,8.474722414,14.9,False,False,False,False,False,7,True,False,False,0,False,4,2,3,3.5,0,0,2.690265262185
CH,Deverall_Hill,Lava_shield,-37.5294,144.6385,,,Quartz tholeiite,,50.0,10800,518,False,29.98494601,57.7,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Dolphins_Hill,Lava_shield,-37.3967,144.2531,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,16.0,10800,518,False,6.27729849,11.0,False,False,False,False,False,7,True,False,False,0,False,4,2,2,3.5,0,0,2.1648178703850003
CH,Donnelly_Hill,Scoria_cone,-37.3997,144.0471,,,K-Rich Hawaiite,,30.0,10800,518,False,10.37037918,18.3,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Eastern_Hill,Lava_shield,-37.3476,144.0526,*** Where is reference for age??,1.82 +- 0.03,Hawaiite,,60.0,10800,518,False,16.3305845,29.3,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Fairbanks Hill,Unknown,-37.6082,144.8638,,,Olivine basalt to trachyandesite,,35.0,10800,518,False,8.75477299,15.4,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,Fawcett_Hill,Scoria_cone,-37.1922,143.8361,,,Transitional Basalt,,40.0,10800,518,False,11.08939554,19.6,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Fenton_Hill_Sunbury,Scoria_cone,-37.499,144.8055,,2.943 +-0.011,Tholeiite,,81.0,10800,518,False,12.40741853,22.0,False,False,False,False,False,7,True,False,False,0,False,4,0,3,3.5,0,0,2.256200025385
CH,Fenton_Hill_Waubra,Scoria_cone,-37.3478,143.7377,,,,,43.0,10800,518,False,9.648045316,17.0,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Fern_Hill,Scoria_cone,-37.3238,144.16779,,,K-Rich Hawaiite,,40.0,10800,518,False,8.138123603,14.3,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,Fitzgerald_Hill,Lava_shield,-37.5337,144.6662,AKA O'Brien Hill,,Trachyandesite,,37.0,10800,518,False,27.92358972,53.0,False,False,False,False,False,7,True,False,False,0,False,4,5,4,3.5,0,0,3.8668105091849996
CH,Foran_Hill,Scoria_cone,-37.3865,143.6246,,,Hawaiite to K-Rich Hawaiite,,85.0,10800,518,False,18.77803322,34.0,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Forest_Hill,Scoria_cone,-37.3939,143.9631,,,,,120.0,10800,518,False,17.22343619,31.0,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
